Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,age_group4,mature_group4,month_to_maturation,age_month
pic015_1,27-Feb-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-904,1455,0.948717948717949,1,1,1,1,0.714285714285714,1,1,1,PIC,2,1,-29.7205479452055,47.8356164383562
pic017_1,30-Jul-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-750,1609,0.866666666666667,0.888888888888889,0.888888888888889,0.888888888888889,1,1,1,0.615384615384615,0.8,PIC,2,1,-24.6575342465753,52.8986301369863
pic018_1,31-Jul-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-749,1610,0.744186046511628,1,1,1,1,1,0.727272727272727,0.363636363636364,0.615384615384615,PIC,2,1,-24.6246575342466,52.9315068493151
pic019_1,04-Aug-2020,PIC,ODR,04-Mar-2016,19-Aug-2022,-745,1614,0.719101123595506,0.571428571428571,0.888888888888889,0.888888888888889,1,1,0.8,0.363636363636364,0.888888888888889,PIC,2,1,-24.4931506849315,53.0630136986301
pic020_1,05-Aug-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-744,1615,0.876712328767123,0.8,1,0.8,1,1,1,0.666666666666667,0.888888888888889,PIC,2,1,-24.4602739726027,53.0958904109589
pic021_1,06-Aug-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-743,1616,0.927536231884058,0.727272727272727,1,0.888888888888889,1,1,0.888888888888889,1,1,PIC,2,1,-24.427397260274,53.1287671232877
pic022_1,07-Aug-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-742,1617,0.888888888888889,1,0.888888888888889,0.615384615384615,1,1,1,0.888888888888889,0.888888888888889,PIC,2,1,-24.3945205479452,53.1616438356164
pic023_1,11-Aug-2020,PIC,ODR,04-Mar-2016,19-Aug-2022,-738,1621,0.975903614457831,1,1,1,1,1,0.909090909090909,0.909090909090909,1,PIC,2,1,-24.2630136986301,53.2931506849315
pic024_1,12-Aug-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-737,1622,0.91025641025641,1,1,0.9,0.888888888888889,1,0.9,0.692307692307692,1,PIC,2,1,-24.2301369863014,53.3260273972603
pic025_1,13-Aug-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-736,1623,0.973333333333333,1,1,1,1,1,1,0.818181818181818,1,PIC,2,1,-24.1972602739726,53.358904109589
